keys;en;ca;es
APP_NAME;Track your counters;Comptadors a ratlla;Contadores a raya
TRACKER_NAME;Tracker name;Nom del comptador;Nombre del contador
ROLL;Roll;Tirar;Tirar
INCREASE_UI;Increase UI size;Augmentar la mida;Aumentar tamaño de interfaz
DECREASE_UI;Decrease UI size;Reduir la mida;Reducir tamaño de interfaz
SAVE;Save;Guardar;Guardar
LOAD_PRESET;Load/Preset;Carregar/Predefinits;Cargar/Preajustes
EDIT_DEFAULT;Edit default;Editar comptador per defecte;Editar por defecto
HELP;Help;Ajuda;Ayuda
DELETE_ALL;Delete all;Eliminar-ho tot;Eliminar todo
QUIT;Quit;Tancar;Salir
SAVE_CURR_TRCK;Save current trackers;Guardar els comptadors;Guardar contadores actuales
FILE_NAME;File name;Nom de l’arxiu;Nombre del archivo
LOAD;Load;Carregar;Cargar
PRESETS;Presets;Configuracions predefinides;Preajustes
DELETE;Delete;Eliminar;Eliminar
ACCEPT;Accept;Acceptar;Aceptar
CANCEL;Cancel;Cancel·lar;Cancelar
DEFAULT_TRACKER;Default tracker;Comptador per defecte;Contador por defecto
NOTES;Notes;Notes;Notas
